regName,regCode,source,is_chemo,is_immuno,is_targeted,is_endocrine,is_supportive,anticancer,hemonc_modalities,class_eau,class_hemonc_mbc,class_any,accepted_uses,status
4d+7,110391,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,,carried
4i+7,110392,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,,carried
5+2d,1002,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
5+2i,119537,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
5+3d,1932,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
5+3i,1939,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
7+3d,814,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Acute myeloid leukemia; Acute myeloid leukemia pediatric; FLT3 Acute myeloid leukemia,carried
7+3d and GO,1093,hemonc,1,0,1,0,0,1,Antibody-drug conjugate therapy; Chemotherapy,other,other,other,Acute myeloid leukemia,carried
7+3d and Midostaurin,1889,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3d and Quizartinib,41857,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3d and Sorafenib,1892,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3i,1095,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3i and Panobinostat,1965,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia,carried
7+3i and Quizartinib,42055,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3i and Sorafenib,1153,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia,carried
7+3i and Vorinostat,1974,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Acute myeloid leukemia,carried
7+3m,1174,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia; B-cell acute lymphoblastic leukemia,carried
7+5i,1982,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
A-AVD,22609,hemonc,1,0,1,0,0,1,Antibody-drug conjugate therapy; Chemotherapy,other,other,other,Classical Hodgkin lymphoma,carried
A-CMF,15543,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
AALL0232 consolidation,4826,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,B-cell acute lymphoblastic leukemia; B-cell acute lymphoblastic leukemia pediatric,carried
AALL0932 delayed intensification,31766,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,B-cell acute lymphoblastic leukemia pediatric,carried
Abarelix monotherapy,5611,hemonc,0,0,0,1,0,0,Endocrine therapy,other,other,other,Prostate cancer,carried
ABC,25325,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,carboplatin,Melanoma,carried
ABCM,27774,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Multiple myeloma,carried
ABCP,29978,hemonc,1,1,1,0,0,1,Chemotherapy; Immunotherapy; Targeted therapy,other,other,carboplatin,Cervical cancer; EGFR Non-small cell lung cancer; Non-small cell lung cancer; Non-small cell lung cancer nonsquamous,carried
ABDIC,23590,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Classical Hodgkin lymphoma,carried
Abemaciclib and Anastrozole,8865,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Abemaciclib and Fulvestrant,9212,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Abemaciclib and Letrozole,8872,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Abemaciclib monotherapy,7939,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
